Time (days),Cover Temperature (C),Internal Air Temperature (C),Vegetation Temperature (C),Growing Medium Temperature (C),Tray Temperature (C),Floor Temperature (C),Soil Layer 1 Temperature (C),Soil Layer 2 Temperature (C),Soil Layer 3 Temperature (C),Soil Layer 4 Temperature (C),Vegetation Mean Temperature (C),Vegetation Temperature Sum (C),Water Vapour Density (kg/m^3),CO2 Density (kg/m^3),Carbohydrate in Buffer (kg/m^2),Carbohydrate in Fruit (kg/m^2),Carbohydrate in Leaf (kg/m^2),Carbohydrate in Stem (kg/m^2),Relative Growth Rate of Fruit (1/s),Relative Growth Rate of Leaf (1/s),Relative Growth Rate of Stem (1/s)
0.0,20.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,285.15,0.0,0.0085,0.00075869,0.01,0.001,0.01,0.01,0.0,0.0,0.0
1.1574074074074072e-05,19.969858465353354,12.009390807223497,12.000729639979513,12.000342554670569,12.000001867789308,12.000220147346,12.000000126097802,11.999999999801616,11.999992137043591,11.000003440088731,285.1500000046255,0.0001388935144683,0.0085008754097535,0.0007586945757621,0.0099999314033077,0.0010000004950469,0.010000028714292,0.0100000227538757,3.616019188360585e-07,2.091541361949468e-06,1.655869575587702e-06
2.3148148148148147e-05,19.93980934425423,12.018688775424664,12.001459386111549,12.000684158216076,12.000007052858564,12.00043982686202,12.00000047624792,11.99999999925194,11.999984274324165,11.000006880154103,285.15000001747137,0.0002777952493995,0.0085017502817152,0.00075869933365,0.0099998628066044,0.0010000009750564,0.0100000569643345,0.0100000453185792,4.9408750860529e-07,2.8833276868769936e-06,2.2931563437111757e-06
3.472222222222222e-05,19.9098546019726,12.027893345639145,12.002189206066078,12.001024789620883,12.000015562912324,12.000659026017672,12.000001053064524,11.999999998373028,11.99997641184541,11.000010320195829,285.1500000386704,0.0004167053377179,0.0085026246143095,0.0007587041642231,0.0099997942098895,0.0010000014490959,0.010000085023441,0.010000067809401,5.33450182663403e-07,3.135025346003283e-06,2.5028191137503384e-06
4.629629629629629e-05,19.87999451789329,12.03700444717333,12.002919094601909,12.001364445702336,12.000027398465136,12.000877742892952,12.000001856920562,11.999999997168572,11.999968549607956,11.000013760213903,285.15000006824226,0.0005556237990815,0.0085034984072584,0.0007587090398446,0.0099997256131628,0.0010000019190279,0.0100001129592197,0.010000090257326,5.036515088298425e-07,2.980528580980277e-06,2.3885987571081e-06
5.787037037037037e-05,19.85026809173121,12.045984731611895,12.003649007416584,12.00170270451838,12.00004385817664,12.001095764202772,12.00000298102907,11.999999995561891,11.9999606877131,11.000017200198272,285.1500001097044,0.0006945541513767,0.008504371434664,0.000758713888741,0.0099996570164185,0.0010000023896102,0.0100001409671064,0.0100001127203103,4.863005548238121e-07,2.887403516977785e-06,2.3155453128925167e-06
6.944444444444444e-05,19.820659385972878,12.0548525584735,12.0043787012699,12.002039657291846,12.000064181388325,12.00131312135801,12.0000043874212,11.999999993794972,11.999952826128322,11.00002064015223,285.15000016191453,0.0008334952531271,0.0085052437655734,0.000758718747945,0.0099995884196546,0.0010000028603291,0.010000168937184,0.0100001351748392,4.730330654912643e-07,2.815942703824861e-06,2.259642629293456e-06
8.101851851851852e-05,19.79165268243605,12.063145496541496,12.005107255519874,12.002369924703205,12.000104245370665,12.00152707777488,12.000007237426589,11.99999999122474,11.999944966130217,11.000024079950265,285.1500002691125,0.0009724913503188,0.0085061125325735,0.0007587236700099,0.0099995198227904,0.0010000033312278,0.0100001966859802,0.0100001575776431,4.724965257494813e-07,2.809340727542785e-06,2.256128548797204e-06
9.25925925925926e-05,19.76264597889923,12.071438434609432,12.005835809769849,12.002700192114505,12.000144309353004,12.001741034191696,12.000010087431974,11.999999988654508,11.999937106132052,11.0000275197483,285.1500003763105,0.0011114874475104,0.0085069812995737,0.0007587285920748,0.0099994512259262,0.0010000038021264,0.0100002244347764,0.0100001799804469,4.719599860076982e-07,2.8027387512607086e-06,2.252614468300951e-06
0.0001041666666666,19.733639275362407,12.07973137267743,12.006564364019766,12.00303045952586,12.0001843733354,12.001954990608567,12.00001293743736,11.999999986084276,11.999929246133943,11.000030959546391,285.15000048350856,0.0012504835447021,0.0085078500665739,0.0007587335141396,0.009999382629062,0.0010000042730251,0.0100002521835726,0.0100002023832508,4.714234462659152e-07,2.796136774978632e-06,2.2491003878046983e-06
0.0001157407407407,19.704632571825584,12.088024310745368,12.00729291826974,12.003360726937215,12.00022443731774,12.002168947025382,12.000015787442806,11.999999983514044,11.999921386135782,11.000034399344427,285.1500005907065,0.0013894796418938,0.008508718833574,0.0007587384362045,0.0099993140321978,0.0010000047439237,0.0100002799323688,0.0100002247860547,4.708869065241322e-07,2.789534798696556e-06,2.245586307308446e-06
0.0001273148148148,19.675625868288705,12.096317248813364,12.008021472519715,12.003690994348574,12.00026450130008,12.002382903442252,12.000018637448193,11.999999980943812,11.999913526137677,11.000037839142522,285.15000069790455,0.0015284757390854,0.0085095876005742,0.0007587433582693,0.0099992454353336,0.0010000052148223,0.010000307681165,0.0100002471888586,4.7035036678234925e-07,2.7829328224144794e-06,2.242072226812193e-06
0.0001388888888888,19.646619164751883,12.104610186881304,12.00875002676969,12.004021261759874,12.00030456528242,12.002596859859068,12.00002148745358,11.99999997837358,11.999905666139568,11.000041278940556,285.15000080510254,0.0016674718362771,0.0085104563675744,0.0007587482803342,0.0099991768384693,0.001000005685721,0.0100003354299613,0.0100002695916625,4.698138270405661e-07,2.776330846132403e-06,2.238558146315941e-06
0.0001504629629629,19.61761246121506,12.112903124949298,12.009478581019664,12.004351529171233,12.000344629264816,12.00281081627594,12.000024337458967,11.999999975803348,11.999897806141403,11.000044718738591,285.1500009123005,0.0018064679334687,0.0085113251345745,0.0007587532023991,0.0099991082416051,0.0010000061566196,0.0100003631787575,0.0100002919944664,4.692772872987831e-07,2.769728869850327e-06,2.2350440658196885e-06
0.000162037037037,19.58860575767824,12.121196063017235,12.010207135269582,12.004681796582588,12.000384693247156,12.003024772692754,12.000027187464411,11.99999997323306,11.999889946143298,11.000048158536686,285.1500010194985,0.0019454640306604,0.0085121939015747,0.0007587581244639,0.0099990396447409,0.0010000066275183,0.0100003909275537,0.0100003143972702,4.687407475570001e-07,2.7631268935682506e-06,2.231529985323436e-06
0.0001736111111111,19.559947906954392,12.129165002620653,12.010934299176029,12.00500796193785,12.000435559563243,12.003236603450944,12.000030873850392,11.999999970817328,11.999882087091862,11.000051598241726,285.1500011593926,0.0020844928313939,0.0085130605302255,0.0007587629865143,0.0099989710478056,0.0010000070987361,0.010000418836083,0.010000336832314,4.6860437439015787e-07,2.762208991093468e-06,2.2305057048141456e-06
0.0001851851851851,19.53143015958761,12.137003820662985,12.0116609047044,12.005332479859533,12.00049076422249,12.003447580519776,12.000034896136526,11.99999996846367,11.999874228420651,11.00005503790942,285.1500013124179,0.0022235347662511,0.0085139263000902,0.0007587678244621,0.0099989024508418,0.0010000075700822,0.0100004468087629,0.0100003592803057,4.686287127854698e-07,2.763573878931955e-06,2.2304813570089177e-06
0.0001967592592592,19.5030011590506,12.144760214727455,12.0123871565346,12.00565595423376,12.000548716954428,12.00365801682915,12.000039131194685,11.999999966149346,11.99986636999023,11.000058477553466,285.1500014737609,0.0023625850207651,0.008514791525967,0.0007587726471424,0.0099988338538598,0.0010000080415095,0.0100004748220783,0.0100003817364991,4.6875485203648746e-07,2.7663847735429054e-06,2.231090404857104e-06
0.0002083333333333,19.474660905343228,12.152434184813956,12.013113054666746,12.005978385060471,12.000609417758994,12.003867912379008,12.000043579024862,11.999999963874302,11.99985851180071,11.000061917173866,285.15000164342166,0.0025016435949357,0.0085156562078558,0.0007587774545553,0.0099987652568598,0.0010000085130181,0.0100005028760292,0.0100004042008942,4.68982792143211e-07,2.770641674926317e-06,2.232332848358704e-06
